,id,edit_history_tweet_ids,created_at,author_id,text
0,1582499854684561408,['1582499854684561408'],2022-10-18T22:32:21.000Z,813286,"Great news: Thanks to @POTUS, the application for federal student loan debt relief is now available, and millions of working-and middle-class folks are eligible. 

Take a few minutes to apply today: https://t.co/2MRIeAYgP3"
1,1582472762798485505,['1582472762798485505'],2022-10-18T20:44:42.000Z,813286,"Too many entrepreneurs feel like big institutions aren’t listening. At the Obama Presidential Center, we want to change that – which is why we’re setting up programs that will connect small business leaders with resources from the public and private sector. https://t.co/7h3RYObTN4"
2,1582161585640177664,['1582161585640177664'],2022-10-18T00:08:11.000Z,813286,"I heard there was a group of students from across Chicago getting together with Don C. and @AyoDos_11, so I thought I’d stop by.

I’m proud of this group, and know they’ll do big things! https://t.co/JBVzM1Cy4M"
3,1582081642650533888,['1582081642650533888'],2022-10-17T18:50:31.000Z,813286,"Michelle and I voted early today. Now it’s your turn. Check your voter registration or update it at https://t.co/XdZz4dhFSr, then make a plan to vote early or on Election Day. Because every vote matters. https://t.co/b5vB4yjYbx"
4,1581300457083146241,['1581300457083146241'],2022-10-15T15:06:22.000Z,813286,"I sat down with @PodSaveAmerica to talk about the importance of voting in these midterms, the state of democracy here and abroad, and the progress Democrats have made on the issues that matter.

Take a listen: https://t.co/lsVesjEngc"
5,1581300411306319872,['1581300411306319872'],2022-10-15T15:06:11.000Z,813286,"If we want our democracy to function, we have to show up this election for the Governors, Secretaries of State and the candidates down the ballot who are going to protect voting rights and our electoral process. Because these seats wield a lot of power, and that power matters. https://t.co/D6ehzPunRi"
6,1580748146678042625,['1580748146678042625'],2022-10-14T02:31:41.000Z,813286,"It was great speaking with Imani and Austin, two outstanding @UrbanAlliance Obama Youth Jobs Corps students. They’re proof that when we connect young people with training and meaningful work experience, it benefits our communities and the world. https://t.co/6hXjZNsSXx"
7,1580599805167796226,['1580599805167796226'],2022-10-13T16:42:14.000Z,813286,Congrats to @JHUAPL on confirming we successfully moved an asteroid! The historic DART mission proved humanity could stop a threatening asteroid if needed — and shows what’s possible when we come together and do big things. https://t.co/r718HvOyM0
